keywords,time,resolution,geo_name,geo_code,value
korean skincare||skincare,today 12-m,DMA,Bend OR,821,5|95
korean skincare||skincare,today 12-m,DMA,Hartford & New Haven CT,533,6|94
korean skincare||skincare,today 12-m,DMA,Charleston SC,519,6|94
korean skincare||skincare,today 12-m,DMA,Des Moines-Ames IA,679,6|94
korean skincare||skincare,today 12-m,DMA,Milwaukee WI,617,5|95
korean skincare||skincare,today 12-m,DMA,El Paso TX,765,8|92
korean skincare||skincare,today 12-m,DMA,Columbus OH,535,5|95
korean skincare||skincare,today 12-m,DMA,Tallahassee FL-Thomasville GA,530,6|94
korean skincare||skincare,today 12-m,DMA,Springfield-Holyoke MA,543,6|94
korean skincare||skincare,today 12-m,DMA,Oklahoma City OK,650,5|95
korean skincare||skincare,today 12-m,DMA,Huntsville-Decatur (Florence) AL,691,7|93
korean skincare||skincare,today 12-m,DMA,Reno NV,811,6|94
korean skincare||skincare,today 12-m,DMA,Norfolk-Portsmouth-Newport News VA,544,5|95
korean skincare||skincare,today 12-m,DMA,Lansing MI,551,7|93
korean skincare||skincare,today 12-m,DMA,Detroit MI,505,4|96
korean skincare||skincare,today 12-m,DMA,New Orleans LA,622,5|95
korean skincare||skincare,today 12-m,DMA,Syracuse NY,555,6|94
korean skincare||skincare,today 12-m,DMA,Columbia SC,546,7|93
korean skincare||skincare,today 12-m,DMA,Biloxi-Gulfport MS,746,6|94
korean skincare||skincare,today 12-m,DMA,Elmira NY,565,7|93
korean skincare||skincare,today 12-m,DMA,Buffalo NY,514,5|95
korean skincare||skincare,today 12-m,DMA,Harlingen-Weslaco-Brownsville-McAllen TX,636,7|93
korean skincare||skincare,today 12-m,DMA,Raleigh-Durham (Fayetteville) NC,560,5|95
korean skincare||skincare,today 12-m,DMA,Odessa-Midland TX,633,7|93
korean skincare||skincare,today 12-m,DMA,Yakima-Pasco-Richland-Kennewick WA,810,6|94
korean skincare||skincare,today 12-m,DMA,Albuquerque-Santa Fe NM,790,5|95
korean skincare||skincare,today 12-m,DMA,Providence RI-New Bedford MA,521,5|95
korean skincare||skincare,today 12-m,DMA,Pittsburgh PA,508,5|95
korean skincare||skincare,today 12-m,DMA,Madison WI,669,7|93
korean skincare||skincare,today 12-m,DMA,Salisbury MD,576,6|94
korean skincare||skincare,today 12-m,DMA,Rochester MN-Mason City IA-Austin MN,611,6|94
korean skincare||skincare,today 12-m,DMA,Chico-Redding CA,868,6|94
korean skincare||skincare,today 12-m,DMA,St. Louis MO,609,5|95
