dma_code,dma_name,geo_code,nielsen_name,n_counties,total_pop,pct_hisp,pct_white_nh,pct_black_nh,pct_asian_nh
661,San Angelo TX,US-TX-661,SAN ANGELO,11,151868,40.75,52.51,3.33,1.32
662,Abilene-Sweetwater TX,US-TX-662,ABILENE-SWEETWATER,17,326067,26.56,63.03,6.44,1.48
669,Madison WI,US-WI-669,MADISON,11,1068645,7.59,80.97,4.31,4.47
670,Ft. Smith-Fayetteville-Springdale-Rogers AR,US-AR-670,FORT SMITH-FAY-SPRNGDL,11,963369,15.99,70.15,3.04,3.47
671,Tulsa OK,US-OK-671,TULSA,22,1484734,11.41,60.69,6.7,2.69
673,Columbus-Tupelo-West Point MS,US-MS-673,COLUMBUS-TUPELO-WEST POINT,19,482813,3.15,63.33,30.82,1.01
675,Peoria-Bloomington IL,US-IL-675,PEORIA-BLOOMINGTON,10,622695,5.25,79.98,8.99,3.26
676,Duluth MN-Superior WI,US-MN-676,DULUTH-SUPERIOR,12,427441,2.14,89.26,1.25,0.92
678,Wichita-Hutchinson KS,US-KS-678,WICHITA-HUTCHINSON PLUS,65,1213970,17.64,70.98,5.06,2.73
679,Des Moines-Ames IA,US-IA-679,DES MOINES-AMES,35,1249887,8.63,80.62,4.58,3.93
682,Davenport IA-Rock Island-Moline IL,US-IA-682,DAVENPORT-ROCK ISLAND-MOLINE,17,752836,9.56,79.72,6.1,1.96
686,Mobile AL-Pensacola (Ft. Walton Beach) FL,US-AL-686,MOBILE-PENSACOLA,11,1550989,6.55,66.73,20.62,2.36
687,Minot-Bismarck-Dickinson(Williston) ND,US-ND-687,MINOT-BISMARCK-DICKINSON,40,429880,5.77,79.34,2.39,1.23
691,Huntsville-Decatur (Florence) AL,US-AL-691,HUNTSVILLE-DECATUR-FLORENCE,11,1155918,9.02,71.34,14.63,1.65
692,Beaumont-Port Arthur TX,US-TX-692,BEAUMONT-PORT ARTHUR,6,464108,17.81,55.03,22.54,2.59
693,Little Rock-Pine Bluff AR,US-AR-693,LITTLE ROCK-PINE BLUFF,37,1476328,7.05,68.88,19.99,1.37
